2,A,0.7442390411229265
2,B,0.7391406072896392
2,F,0.7295868764270342
2,A,0.7448339454120423
2,B,0.7401873232333609
2,F,0.7343083397285771
3,A,0.734130941827432
3,B,0.7275168738442556
3,F,0.7281521605370916
4,A,0.7260216029149429
4,B,0.7309291765841898
4,F,0.7257526721821451
5,A,0.7061527359142512
5,B,0.7116640976647997
5,F,0.7024343322037631
2,A,0.7430822742310695
2,B,0.7391191547987865
2,F,0.7280560729489212
3,A,0.7404897568166839
3,B,0.737530983565444
3,F,0.7294527289437633
4,A,0.7155066915984172
4,B,0.7240489787865448
4,F,0.7102795128517644
5,A,0.7135972736613881
5,B,0.7252494810541277
5,F,0.715313561332547
1,A,0.7377457106420944
1,B,0.7416848128937821
1,F,0.728054156244712
1,A,0.7401019929986581
1,B,0.7471564841896061
1,F,0.7312162587078792
1,A,0.7452847531295392
1,B,0.7479909626119634
1,F,0.7327791109010939
2,A,0.740005105810567
2,B,0.7355140007067615
2,F,0.7211235801612594
3,A,0.7376678687727468
3,B,0.7381585482145514
3,F,0.7298599342312552
4,A,0.7234381765994268
4,B,0.7279868226306369
4,F,0.7146200232410383
5,A,0.7068474735433325
5,B,0.7175982334358164
5,F,0.7178848507569907
1,A,0.7413937397217574
1,B,0.7409209360699615
1,F,0.7292642577930071
2,A,0.7432677799552647
2,B,0.7417531744253644
2,F,0.731165222223462
3,A,0.7455321883225677
3,B,0.742117884893987
3,F,0.7380463490386762
4,A,0.7227202419961007
4,B,0.7289894373553159
4,F,0.7222588615686577
5,A,0.7128663121013369
5,B,0.7278128181700948
5,F,0.7159283897518036
1,A,0.7439509447295165
1,B,0.7449265920774337
1,F,0.7234690746174136
2,A,0.7342468340616943
2,B,0.7335212630931973
2,F,0.720850488580806
3,A,0.7427320663180637
3,B,0.7404675375513243
3,F,0.7325100187456559
4,A,0.7281340466419023
4,B,0.7306106141207824
4,F,0.7244856096021564
5,A,0.714744645388837
5,B,0.7256195234769198
5,F,0.7183163108305033
1,A,0.7474792867108507
1,B,0.7482419587794724
1,F,0.7314395497530455
2,A,0.746038402983253
2,B,0.7405020032793725
2,F,0.7374937862172266
3,A,0.732409684200662
3,B,0.7298118454090875
3,F,0.7311276568987786
4,A,0.7243467993721424
4,B,0.728460001320456
4,F,0.7179584242071718
4,A,0.7260776871144908
4,B,0.7311289941677139
4,F,0.720722805820755
5,A,0.7121646543005558
5,B,0.7138789321147299
5,F,0.7087655230939247
1,A,0.7427688934993321
1,B,0.745581361229729
1,F,0.7313114693468601
2,A,0.742220156946897
2,B,0.7422866294866364
2,F,0.7250168572022297
3,A,0.7383268124244995
3,B,0.7351507363902937
3,F,0.7251706210506694
4,A,0.7161508535682786
4,B,0.7168112564754295
4,F,0.7179570029664625
5,A,0.7121106674836504
5,B,0.7267649553587797
5,F,0.7070837396814185
1,A,0.7479994582493229
1,B,0.7496520704352225
1,F,0.7311157632755139
2,A,0.7460483737254017
2,B,0.7427334352777109
2,F,0.7323374337720244
3,A,0.737370724004655
3,B,0.7366157252296873
3,F,0.7284546883019771
4,A,0.7184979358758061
4,B,0.7240496982779758
4,F,0.7172355906494261
5,A,0.7022227641919156
5,B,0.7088150860800533
5,F,0.7044716279195684
1,A,0.7479600391251925
1,B,0.7487925740652452
1,F,0.7322363277612475
2,A,0.74573480505004
2,B,0.7492415021789859
2,F,0.7338057671753887
3,A,0.7390470180401303
3,B,0.7394517121599532
3,F,0.7269361865367199
4,A,0.7240151434197211
4,B,0.7329074480241676
4,F,0.7195351956500766
5,A,0.7108521743375534
5,B,0.7237028273442547
5,F,0.7115284474598687
1,A,0.7399031817297929
1,B,0.7431428993027083
1,F,0.7297874169176833
2,A,0.732993127630689
2,B,0.7281442476460479
2,F,0.7181575326716867
3,A,0.733072204073263
3,B,0.7410509288892145
3,F,0.7294612967779136
4,A,0.731293931946547
4,B,0.7359932721093734
4,F,0.724856641999667
5,A,0.7220063967307161
5,B,0.7303221607324428
5,F,0.7193857371611875
1,A,0.7440431861457908
1,B,0.7487116255473057
1,F,0.7320815142508003
3,A,0.7344190027886135
3,B,0.7341333546614648
3,F,0.7254097569500582
5,A,0.7151261632049621
5,B,0.723563673584767
5,F,0.7145681500942689
